id,state,total_pop,groundwater_per_day,gal_per_capita,county
5007,AR,249672,22090000,88.48,Benton County
5009,AR,37222,2900000,77.91,Boone County
5011,AR,11094,990000,89.24,Bradley County
5013,AR,5229,470000,89.88,Calhoun County
5015,AR,27704,2160000,77.97,Carroll County
5017,AR,11027,980000,88.87,Chicot County
5019,AR,22633,1930000,85.27,Clark County
5021,AR,15109,1340000,88.69,Clay County
5023,AR,25467,2270000,89.13,Cleburne County
5025,AR,8311,740000,89.04,Cleveland County
5027,AR,24114,2150000,89.16,Columbia County
5029,AR,21019,1870000,88.97,Conway County
5031,AR,104354,8950000,85.77,Craighead County
5033,AR,61703,4960000,80.39,Crawford County
5035,AR,48963,4360000,89.05,Crittenden County
5037,AR,17284,1540000,89.1,Cross County
5039,AR,7604,680000,89.43,Dallas County
5041,AR,11965,1060000,88.59,Desha County
5043,AR,18778,1530000,81.48,Drew County
5045,AR,121552,10690000,87.95,Faulkner County
5047,AR,17702,1470000,83.04,Franklin County
5049,AR,12204,800000,65.55,Fulton County
5051,AR,97177,8580000,88.29,Garland County
5053,AR,18102,1490000,82.31,Grant County
5055,AR,44196,3370000,76.25,Greene County
5057,AR,22084,1570000,71.09,Hempstead County
5059,AR,33426,2970000,88.85,Hot Spring County
5061,AR,13300,1180000,88.72,Howard County
5063,AR,37052,3250000,87.71,Independence County
5065,AR,13445,1160000,86.28,Izard County
5067,AR,17338,1470000,84.78,Jackson County
5069,AR,71565,6160000,86.08,Jefferson County
5071,AR,26141,2330000,89.13,Johnson County
5073,AR,6996,570000,81.48,Lafayette County
5075,AR,16779,1490000,88.8,Lawrence County
5077,AR,9650,860000,89.12,Lee County
5079,AR,13820,1230000,89.0,Lincoln County
5081,AR,12472,1100000,88.2,Little River County
5083,AR,21714,1890000,87.04,Logan County
5085,AR,71645,6380000,89.05,Lonoke County
5087,AR,15767,1010000,64.06,Madison County
5089,AR,16184,1050000,64.87,Marion County
5091,AR,43908,3290000,74.93,Miller County
5093,AR,43738,3890000,88.94,Mississippi County
5095,AR,7399,630000,85.15,Monroe County
5097,AR,8970,640000,71.35,Montgomery County
5099,AR,8558,640000,74.78,Nevada County
5101,AR,7912,660000,83.41,Newton County
5103,AR,24358,2170000,89.09,Ouachita County
5105,AR,10189,710000,69.68,Perry County
5107,AR,19512,1740000,89.17,Phillips County
5109,AR,10824,880000,81.3,Pike County
5111,AR,24040,1980000,82.36,Poinsett County
5113,AR,20215,1580000,78.16,Polk County
5115,AR,63390,4890000,77.14,Pope County
5117,AR,8291,700000,84.43,Prairie County
5119,AR,392664,34390000,87.58,Pulaski County
5121,AR,17469,1160000,66.4,Randolph County
5123,AR,26589,2340000,88.01,St. Francis County
5125,AR,117460,9170000,78.07,Saline County
5127,AR,10513,600000,57.07,Scott County
5129,AR,7869,560000,71.17,Searcy County
5131,AR,127780,11030000,86.32,Sebastian County
5133,AR,17290,1210000,69.98,Sevier County
5135,AR,16912,1150000,68.0,Sharp County
5137,AR,12456,1110000,89.11,Stone County
5139,AR,40144,3570000,88.93,Union County
5141,AR,16771,1470000,87.65,Van Buren County
5143,AR,225477,20070000,89.01,Washington County
5145,AR,79161,6280000,79.33,White County
5147,AR,6741,600000,89.01,Woodruff County
5149,AR,21713,1820000,83.82,Yell County
6001,CA,1638215,98370000,60.05,Alameda County
6003,CA,1110,60000,54.05,Alpine County
6005,CA,37001,2990000,80.81,Amador County
6007,CA,225410,18690000,82.92,Butte County
6009,CA,44828,3340000,74.51,Calaveras County
6011,CA,21482,1580000,73.55,Colusa County
6013,CA,1126745,72410000,64.26,Contra Costa County
6015,CA,27254,1590000,58.34,Del Norte County
6017,CA,184452,15480000,83.92,El Dorado County
6019,CA,974861,101920000,104.55,Fresno County
6021,CA,28017,1760000,62.82,Glenn County
6023,CA,135727,7250000,53.42,Humboldt County
6025,CA,180190,19950000,110.72,Imperial County
6027,CA,18260,1560000,85.43,Inyo County
6029,CA,882176,106070000,120.24,Kern County
6031,CA,150965,17250000,114.26,Kings County
6033,CA,64591,2110000,32.67,Lake County
6035,CA,31345,2640000,84.22,Lassen County
6037,CA,10170292,817880000,80.42,Los Angeles County
6039,CA,154998,11670000,75.29,Madera County
6041,CA,261221,19580000,74.96,Marin County
6043,CA,17531,440000,25.1,Mariposa County
6045,CA,87649,4640000,52.94,Mendocino County
6047,CA,268455,25230000,93.98,Merced County
6049,CA,8965,400000,44.62,Modoc County
6051,CA,13909,1210000,86.99,Mono County
6053,CA,433898,25990000,59.9,Monterey County
6055,CA,142456,8800000,61.77,Napa County
6057,CA,98877,6950000,70.29,Nevada County
6059,CA,3169776,282700000,89.19,Orange County
6061,CA,375390,34870000,92.89,Placer County
6063,CA,18409,1380000,74.96,Plumas County
6065,CA,2361026,277710000,117.62,Riverside County
6067,CA,1501335,156290000,104.1,Sacramento County
6069,CA,58792,3640000,61.91,San Benito County
6071,CA,2128133,217550000,102.23,San Bernardino County
6073,CA,3299520,260940000,79.08,San Diego County
6075,CA,864816,36720000,42.46,San Francisco County
6077,CA,726106,55440000,76.35,San Joaquin County
6079,CA,281401,19640000,69.79,San Luis Obispo County
6081,CA,765135,45600000,59.6,San Mateo County
6083,CA,444769,29590000,66.53,Santa Barbara County
6085,CA,1918043,109360000,57.02,Santa Clara County
6087,CA,274145,11850000,43.23,Santa Cruz County
6089,CA,179533,21770000,121.26,Shasta County
6091,CA,2967,240000,80.89,Sierra County
6093,CA,43553,2590000,59.47,Siskiyou County
6095,CA,436092,31300000,71.77,Solano County
6097,CA,502145,26760000,53.29,Sonoma County
6099,CA,538388,45610000,84.72,Stanislaus County
6101,CA,96463,8210000,85.11,Sutter County
6103,CA,63308,3670000,57.97,Tehama County
6105,CA,13069,640000,48.97,Trinity County
6107,CA,459863,44620000,97.03,Tulare County
6109,CA,53708,3620000,67.4,Tuolumne County
6111,CA,850536,75920000,89.26,Ventura County
6113,CA,213016,15210000,71.4,Yolo County
6115,CA,74492,6720000,90.21,Yuba County
8001,CO,491337,36530000,74.35,Adams County
8003,CO,16496,1250000,75.78,Alamosa County
8005,CO,631096,141380000,224.02,Arapahoe County
8007,CO,12352,2440000,197.54,Archuleta County
8009,CO,3615,240000,66.39,Baca County
8011,CO,5830,290000,49.74,Bent County
8013,CO,319372,32740000,102.51,Boulder County
8014,CO,65065,5670000,87.14,Broomfield County
8015,CO,18658,1170000,62.71,Chaffee County
8017,CO,1829,230000,125.75,Cheyenne County
8019,CO,9302,710000,76.32,Clear Creek County
8021,CO,8130,1160000,142.68,Conejos County
8023,CO,3583,300000,83.71,Costilla County
8025,CO,5562,290000,52.14,Crowley County
8027,CO,4445,170000,38.25,Custer County
8029,CO,29979,4710000,157.11,Delta County
8031,CO,682545,109750000,160.8,Denver County
8033,CO,1978,150000,75.83,Dolores County
8035,CO,322387,23360000,72.46,Douglas County
8037,CO,53605,6210000,115.85,Eagle County
8039,CO,24735,740000,29.92,Elbert County
8041,CO,674471,73030000,108.28,El Paso County
8043,CO,46692,3990000,85.45,Fremont County
8045,CO,58095,6500000,111.89,Garfield County
8047,CO,5827,420000,72.07,Gilpin County
8049,CO,14615,1480000,101.27,Grand County
8051,CO,16067,1080000,67.22,Gunnison County
8053,CO,774,130000,167.96,Hinsdale County
8055,CO,6492,880000,135.55,Huerfano County
8057,CO,1355,170000,125.37,Jackson County
8059,CO,565524,53470000,94.55,Jefferson County
8061,CO,1423,140000,98.38,Kiowa County
8063,CO,7757,1070000,137.92,Kit Carson County
8065,CO,7485,700000,93.52,Lake County
8067,CO,54688,5180000,94.72,La Plata County
8069,CO,333577,30570000,91.64,Larimer County
8071,CO,14058,2910000,207.0,Las Animas County
8073,CO,5557,490000,88.18,Lincoln County
8075,CO,22035,1610000,73.06,Logan County
8077,CO,148513,11240000,75.68,Mesa County
8079,CO,726,110000,151.52,Mineral County
8081,CO,12937,1000000,77.3,Moffat County
8083,CO,26168,1960000,74.9,Montezuma County
8085,CO,40946,7940000,193.91,Montrose County
8087,CO,28360,3620000,127.64,Morgan County
8089,CO,18343,1440000,78.5,Otero County
8091,CO,4691,760000,162.01,Ouray County
8093,CO,16510,350000,21.2,Park County
8095,CO,4349,640000,147.16,Phillips County
8097,CO,17787,2310000,129.87,Pitkin County
8099,CO,11954,1370000,114.61,Prowers County
8101,CO,163591,9940000,60.76,Pueblo County
8103,CO,6571,1070000,162.84,Rio Blanco County
8105,CO,11543,780000,67.57,Rio Grande County
8107,CO,24130,1810000,75.01,Routt County
8109,CO,6251,780000,124.78,Saguache County
8111,CO,701,80000,114.12,San Juan County
8113,CO,7879,510000,64.73,San Miguel County
8115,CO,2399,410000,170.9,Sedgwick County
8117,CO,30256,6170000,203.92,Summit County
8119,CO,23385,1100000,47.04,Teller County
8121,CO,4864,260000,53.45,Washington County
8123,CO,285174,26840000,94.12,Weld County
8125,CO,10146,890000,87.72,Yuma County
9001,CT,948053,29980000,31.62,Fairfield County
9003,CT,895841,25290000,28.23,Hartford County
9005,CT,183602,3640000,19.83,Litchfield County
9007,CT,164063,3160000,19.26,Middlesex County
9009,CT,859470,20980000,24.41,New Haven County
9011,CT,271863,6610000,24.31,New London County
9013,CT,151420,3830000,25.29,Tolland County
9015,CT,116573,2500000,21.45,Windham County
10001,DE,173533,9780000,56.36,Kent County
10003,DE,556779,39980000,71.81,New Castle County
10005,DE,215622,11380000,52.78,Sussex County
11001,DC,672228,44780000,66.61,District of Columbia
12001,FL,259964,12740000,49.01,Alachua County
12003,FL,27420,360000,13.13,Baker County
12005,FL,181635,14430000,79.45,Bay County
12007,FL,26928,590000,21.91,Bradford County
12009,FL,568088,33070000,58.21,Brevard County
12011,FL,1896425,153740000,81.07,Broward County
12013,FL,14462,350000,24.2,Calhoun County
12015,FL,173115,12250000,70.76,Charlotte County
12017,FL,141058,10290000,72.95,Citrus County
12019,FL,203967,8130000,39.86,Clay County
12021,FL,357305,35600000,99.63,Collier County
12023,FL,68348,1540000,22.53,Columbia County
12027,FL,35458,1210000,34.12,DeSoto County
12029,FL,16203,320000,19.75,Dixie County
12031,FL,913010,68470000,74.99,Duval County
12033,FL,311003,24310000,78.17,Escambia County
12035,FL,105392,6520000,61.86,Flagler County
12037,FL,11761,1420000,120.74,Franklin County
12039,FL,46036,2730000,59.3,Gadsden County
12041,FL,17199,100000,5.81,Gilchrist County
12043,FL,13670,370000,27.07,Glades County
12045,FL,15870,1470000,92.62,Gulf County
12047,FL,14295,450000,31.48,Hamilton County
